# vertices edges time_seconds
300 600 0.0005222
350 700 0.0006243
400 800 0.0007109
450 900 0.0008029
500 1000 0.0016179
550 1100 0.0010258
600 1200 0.0013313
650 1300 0.0011858
700 1400 0.0015305
750 1500 0.0016052
800 1600 0.0015214
850 1700 0.0025346
900 1800 0.0019166
950 1900 0.0019252
1000 2000 0.0019064
1050 2100 0.0020292
1100 2200 0.0028626
1150 2300 0.0022233
1200 2400 0.0023223
1250 2500 0.0026133
1300 2600 0.002566
1350 2700 0.0026016
1400 2800 0.0027485
1450 2900 0.0028852
1500 3000 0.003084
1550 3100 0.0031012
1600 3200 0.0031502
1650 3300 0.0033229
1700 3400 0.0033815
1750 3500 0.0035241
1800 3600 0.0036653
1850 3700 0.0037831
1900 3800 0.0037473
1950 3900 0.003925
2000 4000 0.0041103
2050 4100 0.0041622
2100 4200 0.004579
2150 4300 0.0046242
2200 4400 0.0045234
2250 4500 0.0045605
2300 4600 0.0046694
2350 4700 0.0047734
2400 4800 0.0049549
2450 4900 0.0073162
2500 5000 0.0052633
2550 5100 0.0052688
2600 5200 0.0052877
2650 5300 0.0055871
2700 5400 0.0059172
2750 5500 0.0061602
2800 5600 0.0064027
2850 5700 0.0062286
2900 5800 0.006113
2950 5900 0.0062602
3000 6000 0.0071197
3050 6100 0.0067193
3100 6200 0.0066287
3150 6300 0.006747
3200 6400 0.0083011
3250 6500 0.0069651
3300 6600 0.0069238
3350 6700 0.0075782
3400 6800 0.0085201
3450 6900 0.0084777
3500 7000 0.0093941
3550 7100 0.0085358
3600 7200 0.0088476
3650 7300 0.0095767
3700 7400 0.0091539
3750 7500 0.0092139
3800 7600 0.0092578
3850 7700 0.008298
3900 7800 0.008432
3950 7900 0.008502
