# vertices edges time_seconds
300 5100 0.00738612
350 6300 0.0103683
400 8000 0.0115526
450 9450 0.0150836
500 11000 0.0158981
550 12650 0.0184037
600 14400 0.0205657
650 16250 0.0205899
700 18200 0.0218315
750 20250 0.0232955
800 22400 0.0299092
850 24650 0.0340313
900 27000 0.0393655
950 28500 0.0311274
1000 31000 0.0380916
1050 33600 0.0428325
1100 36300 0.0407343
1150 37950 0.0509451
1200 40800 0.0641554
1250 43750 0.0648181
1300 46800 0.0643723
1350 48600 0.0642075
1400 51800 0.0727306
1450 55100 0.0695368
1500 57000 0.070245
1550 60450 0.07518
1600 64000 0.0758823
1650 66000 0.09158
1700 69700 0.0757282
1750 71750 0.0880612
1800 75600 0.0918219
1850 79550 0.0979347
1900 81700 0.0991717
1950 85800 0.136874
2000 88000 0.126667
2050 92250 0.123519
2100 94500 0.115843
2150 98900 0.135885
2200 101200 0.133757
2250 105750 0.13081
2300 108100 0.147179
2350 112800 0.14379
2400 115200 0.144236
2450 120050 0.169782
2500 125000 0.178002
2550 127500 0.148466
2600 130000 0.176608
2650 135150 0.183882
2700 137700 0.16619
2750 143000 0.201818
2800 145600 0.192262
2850 151050 0.210979
2900 153700 0.177055
2950 159300 0.2264
3000 162000 0.262819
3050 167750 0.191977
3100 170500 0.206413
3150 176400 0.218661
3200 179200 0.202491
3250 185250 0.25908
3300 188100 0.2231
3350 190950 0.244711
3400 197200 0.231848
3450 200100 0.267337
3500 206500 0.302077
3550 209450 0.269809
3600 216000 0.268785
3650 219000 0.257095
3700 222000 0.270164
3750 228750 0.283171
3800 231800 0.279498
3850 238700 0.304807
3900 241800 0.286259
3950 244900 0.282439
