# vertices edges time_seconds
300 22500 0.0106034
350 30625 0.0181628
400 40000 0.0139006
450 50625 0.0176016
500 62500 0.0208705
550 75625 0.0256528
600 90000 0.0231993
650 105625 0.0301697
700 122500 0.0393432
750 140625 0.0411162
800 160000 0.0422982
850 180625 0.0428927
900 202500 0.0552726
950 225625 0.0491639
1000 250000 0.0538342
1050 275625 0.0590311
1100 302500 0.0646854
1150 330625 0.0702859
1200 360000 0.0750877
1250 390625 0.083252
1300 422500 0.100065
1350 455625 0.0943889
1400 490000 0.110529
1450 525625 0.101332
1500 562500 0.11332
1550 600625 0.106499
1600 640000 0.133721
1650 680625 0.124183
1700 722500 0.142656
1750 765625 0.150002
1800 810000 0.148019
1850 855625 0.161987
1900 902500 0.186937
1950 950625 0.161734
2000 1000000 0.164511
2050 1050625 0.202033
2100 1102500 0.177732
2150 1155625 0.24838
2200 1210000 0.232529
2250 1265625 0.245283
2300 1322500 0.255589
2350 1380625 0.267824
2400 1440000 0.232066
2450 1500625 0.273069
2500 1562500 0.288917
2550 1625625 0.25129
2600 1690000 0.264077
2650 1755625 0.301631
2700 1822500 0.271768
2750 1890625 0.289996
2800 1960000 0.316831
2850 2030625 0.366126
2900 2102500 0.413807
2950 2175625 0.363559
3000 2250000 0.394383
3050 2325625 0.410501
3100 2402500 0.376459
3150 2480625 0.376221
3200 2560000 0.36132
3250 2640625 0.404301
3300 2722500 0.428882
3350 2805625 0.424292
3400 2890000 0.449229
3450 2975625 0.465591
3500 3062500 0.424937
3550 3150625 0.43877
3600 3240000 0.442157
3650 3330625 0.429417
3700 3422500 0.45356
3750 3515625 0.496799
3800 3610000 0.52527
3850 3705625 0.48738
3900 3802500 0.500254
3950 3900625 0.492092
