# vertices edges time_seconds
300 600 0.00391172
350 700 0.0053718
400 800 0.00727412
450 900 0.0076844
500 1000 0.0109564
550 1100 0.0130301
600 1200 0.0186484
650 1300 0.0168545
700 1400 0.0213497
750 1500 0.0276463
800 1600 0.0355779
850 1700 0.0396835
900 1800 0.0284942
950 1900 0.0383458
1000 2000 0.0442852
1050 2100 0.0552054
1100 2200 0.0640452
1150 2300 0.0762269
1200 2400 0.0686195
1250 2500 0.0698378
1300 2600 0.0749953
1350 2700 0.0744349
1400 2800 0.0891723
1450 2900 0.100342
1500 3000 0.108871
1550 3100 0.128418
1600 3200 0.0978467
1650 3300 0.115635
1700 3400 0.107566
1750 3500 0.114504
1800 3600 0.143885
1850 3700 0.149559
1900 3800 0.141456
1950 3900 0.187015
2000 4000 0.174861
2050 4100 0.19115
2100 4200 0.198245
2150 4300 0.21433
2200 4400 0.220117
2250 4500 0.222952
2300 4600 0.244165
2350 4700 0.224679
2400 4800 0.275905
2450 4900 0.219484
2500 5000 0.268063
2550 5100 0.272284
2600 5200 0.311205
2650 5300 0.31788
2700 5400 0.299077
2750 5500 0.276102
2800 5600 0.352026
2850 5700 0.359514
2900 5800 0.390678
2950 5900 0.376646
3000 6000 0.386295
3050 6100 0.423318
3100 6200 0.375808
3150 6300 0.394593
3200 6400 0.384618
3250 6500 0.48567
3300 6600 0.404838
3350 6700 0.449234
3400 6800 0.556714
3450 6900 0.487715
3500 7000 0.47544
3550 7100 0.491822
3600 7200 0.554372
3650 7300 0.547439
3700 7400 0.598261
3750 7500 0.56513
3800 7600 0.642369
3850 7700 0.575562
3900 7800 0.660579
3950 7900 0.647784
